candidate_id,best_iteration,duration_seconds,pr_auc,roc_auc,f1,precision,recall,lift_at_10,threshold_f1,base_rate,top10_positive_rate,params_json,round,data_fraction,max_rounds
0,128,7.726,0.5385694564936419,0.7754242188581105,0.516470899938179,0.4697000120477089,0.5735863861507527,3.245912478213357,0.5792150853773955,0.1999980360269546,0.6491761207580566,"{""bagging_fraction"": 0.9890300582365401, ""bagging_freq"": 1, ""bagging_seed"": 42, ""boosting_type"": ""gbdt"", ""data_random_seed"": 42, ""deterministic"": true, ""feature_fraction"": 0.5923798065494423, ""feature_fraction_seed"": 42, ""force_col_wise"": true, ""lambda_l1"": 0.07083653639938664, ""lambda_l2"": 0.1187349975151042, ""learning_rate"": 0.0813285339384323, ""max_bin"": 127, ""max_depth"": 8, ""metric"": ""None"", ""min_data_in_leaf"": 655, ""min_gain_to_split"": 0.12811363267554587, ""num_leaves"": 52, ""objective"": ""binary"", ""scale_pos_weight"": 4.0, ""seed"": 42, ""verbosity"": -1}",1,0.2,128
1,128,8.019,0.5375315270270048,0.775098667431894,0.5156403483879418,0.4646341463414634,0.5792261291746359,3.249345441440432,0.5619571566282745,0.1999980360269546,0.6498627066612244,"{""bagging_fraction"": 0.7495363894722991, ""bagging_freq"": 1, ""bagging_seed"": 43, ""boosting_type"": ""gbdt"", ""data_random_seed"": 43, ""deterministic"": true, ""feature_fraction"": 0.9202427259718735, ""feature_fraction_seed"": 43, ""force_col_wise"": true, ""lambda_l1"": 1.1095541345082172e-06, ""lambda_l2"": 0.0009800835121047862, ""learning_rate"": 0.027295579256587727, ""max_bin"": 127, ""max_depth"": 8, ""metric"": ""None"", ""min_data_in_leaf"": 538, ""min_gain_to_split"": 0.06381725610417532, ""num_leaves"": 207, ""objective"": ""binary"", ""scale_pos_weight"": 4.0, ""seed"": 43, ""verbosity"": -1}",1,0.2,128
2,128,9.368,0.5375926258583584,0.7749228897616425,0.5165150578468604,0.4697401710774668,0.5736354273944387,3.2527781066413564,0.4097997918062643,0.1999980360269546,0.6505492329597473,"{""bagging_fraction"": 0.9002725736831929, ""bagging_freq"": 1, ""bagging_seed"": 44, ""boosting_type"": ""gbdt"", ""data_random_seed"": 44, ""deterministic"": true, ""feature_fraction"": 0.951904504594989, ""feature_fraction_seed"": 44, ""force_col_wise"": true, ""lambda_l1"": 5.646097462944218e-07, ""lambda_l2"": 0.00015866788529011412, ""learning_rate"": 0.05532163137042059, ""max_bin"": 63, ""max_depth"": 12, ""metric"": ""None"", ""min_data_in_leaf"": 1795, ""min_gain_to_split"": 0.04380376578722878, ""num_leaves"": 128, ""objective"": ""binary"", ""scale_pos_weight"": 2.0, ""seed"": 44, ""verbosity"": -1}",1,0.2,128
3,128,8.914,0.5384981653763717,0.7747605997110681,0.5156339581036383,0.468448255138427,0.573390221176009,3.258662931008213,0.4086189319354113,0.1999980360269546,0.6517261862754822,"{""bagging_fraction"": 0.716706867715691, ""bagging_freq"": 1, ""bagging_seed"": 45, ""boosting_type"": ""gbdt"", ""data_random_seed"": 45, ""deterministic"": true, ""feature_fraction"": 0.6966214111621685, ""feature_fraction_seed"": 45, ""force_col_wise"": true, ""lambda_l1"": 0.00016826829781876375, ""lambda_l2"": 5.072735659008742e-07, ""learning_rate"": 0.06358108040518996, ""max_bin"": 127, ""max_depth"": -1, ""metric"": ""None"", ""min_data_in_leaf"": 1774, ""min_gain_to_split"": 0.12992150533547164, ""num_leaves"": 124, ""objective"": ""binary"", ""scale_pos_weight"": 2.0, ""seed"": 45, ""verbosity"": -1}",1,0.2,128
4,128,8.035,0.535316256845237,0.7743559275298666,0.5153246753246753,0.4612344530977565,0.5837869648374283,3.2380663437503654,0.5362658732161771,0.1999980360269546,0.6476069092750549,"{""bagging_fraction"": 0.6905649886219185, ""bagging_freq"": 1, ""bagging_seed"": 46, ""boosting_type"": ""gbdt"", ""data_random_seed"": 46, ""deterministic"": true, ""feature_fraction"": 0.8651192959010121, ""feature_fraction_seed"": 46, ""force_col_wise"": true, ""lambda_l1"": 0.3092702978179819, ""lambda_l2"": 0.1749360102840249, ""learning_rate"": 0.018486985560788934, ""max_bin"": 63, ""max_depth"": 16, ""metric"": ""None"", ""min_data_in_leaf"": 1079, ""min_gain_to_split"": 0.38747837903017446, ""num_leaves"": 100, ""objective"": ""binary"", ""scale_pos_weight"": 4.0, ""seed"": 46, ""verbosity"": -1}",1,0.2,128
5,128,6.788,0.5372077167598469,0.7752121594458328,0.5151028556548911,0.4619546179893356,0.5820705213084204,3.2395374008290045,0.4029858348757573,0.1999980360269546,0.6479011178016663,"{""bagging_fraction"": 0.9041159698759622, ""bagging_freq"": 1, ""bagging_seed"": 47, ""boosting_type"": ""gbdt"", ""data_random_seed"": 47, ""deterministic"": true, ""feature_fraction"": 0.5533130213879526, ""feature_fraction_seed"": 47, ""force_col_wise"": true, ""lambda_l1"": 0.009630696777835738, ""lambda_l2"": 0.022206924070447543, ""learning_rate"": 0.06348585846667569, ""max_bin"": 127, ""max_depth"": 6, ""metric"": ""None"", ""min_data_in_leaf"": 105, ""min_gain_to_split"": 0.7807290310219679, ""num_leaves"": 22, ""objective"": ""binary"", ""scale_pos_weight"": 2.0, ""seed"": 47, ""verbosity"": -1}",1,0.2,128
6,128,7.662,0.5370894910773283,0.7750588229621114,0.5156890099426471,0.4701227390180879,0.5710362414790839,3.2395374008290045,0.2571080228212835,0.1999980360269546,0.6479011178016663,"{""bagging_fraction"": 0.8043562479165349, ""bagging_freq"": 1, ""bagging_seed"": 48, ""boosting_type"": ""gbdt"", ""data_random_seed"": 48, ""deterministic"": true, ""feature_fraction"": 0.7619932927644096, ""feature_fraction_seed"": 48, ""force_col_wise"": true, ""lambda_l1"": 0.07673433199367605, ""lambda_l2"": 0.005157804538832597, ""learning_rate"": 0.04665428620184825, ""max_bin"": 63, ""max_depth"": 6, ""metric"": ""None"", ""min_data_in_leaf"": 589, ""min_gain_to_split"": 0.5535794006579958, ""num_leaves"": 22, ""objective"": ""binary"", ""scale_pos_weight"": 1.0, ""seed"": 48, ""verbosity"": -1}",1,0.2,128
7,128,7.849,0.5330597878329996,0.7726300437192783,0.5141638075129762,0.4661243370419109,0.5732430974449512,3.208152266924737,0.2494996481469352,0.1999980360269546,0.6416241526603699,"{""bagging_fraction"": 0.7338378896760863, ""bagging_freq"": 1, ""bagging_seed"": 49, ""boosting_type"": ""gbdt"", ""data_random_seed"": 49, ""deterministic"": true, ""feature_fraction"": 0.6465631027687881, ""feature_fraction_seed"": 49, ""force_col_wise"": true, ""lambda_l1"": 0.4793223274008138, ""lambda_l2"": 1.2748390933572839e-06, ""learning_rate"": 0.02277576921655751, ""max_bin"": 127, ""max_depth"": 10, ""metric"": ""None"", ""min_data_in_leaf"": 250, ""min_gain_to_split"": 0.05830274168906602, ""num_leaves"": 16, ""objective"": ""binary"", ""scale_pos_weight"": 1.0, ""seed"": 49, ""verbosity"": -1}",1,0.2,128
8,128,4.092,0.5372824941018364,0.7748059387361801,0.5159256875235834,0.4712513178168843,0.5699573341179932,3.254739714763642,0.2565313511847986,0.1999980360269546,0.6509415507316589,"{""bagging_fraction"": 0.7328740876480317, ""bagging_freq"": 1, ""bagging_seed"": 50, ""boosting_type"": ""gbdt"", ""data_random_seed"": 50, ""deterministic"": true, ""feature_fraction"": 0.8489410931473245, ""feature_fraction_seed"": 50, ""force_col_wise"": true, ""lambda_l1"": 0.2119256198100948, ""lambda_l2"": 3.182411089750532e-07, ""learning_rate"": 0.022145885604701734, ""max_bin"": 127, ""max_depth"": -1, ""metric"": ""None"", ""min_data_in_leaf"": 901, ""min_gain_to_split"": 0.022712073133860478, ""num_leaves"": 98, ""objective"": ""binary"", ""scale_pos_weight"": 1.0, ""seed"": 50, ""verbosity"": -1}",1,0.2,128
9,128,56.605,0.5380604663029905,0.7754328883326733,0.5166350741878554,0.4648318042813456,0.5814329851405031,3.2478740863356426,0.2512288379358969,0.1999980360269546,0.6495684385299683,"{""bagging_fraction"": 0.6185404462209259, ""bagging_freq"": 1, ""bagging_seed"": 51, ""boosting_type"": ""gbdt"", ""data_random_seed"": 51, ""deterministic"": true, ""feature_fraction"": 0.7754701487965137, ""feature_fraction_seed"": 51, ""force_col_wise"": true, ""lambda_l1"": 0.018487720879080554, ""lambda_l2"": 0.00010361114668834579, ""learning_rate"": 0.07072297449733993, ""max_bin"": 63, ""max_depth"": -1, ""metric"": ""None"", ""min_data_in_leaf"": 91, ""min_gain_to_split"": 0.3810212260964825, ""num_leaves"": 56, ""objective"": ""binary"", ""scale_pos_weight"": 1.0, ""seed"": 51, ""verbosity"": -1}",1,0.2,128
