feature,gain,split,gain_pct
Ciclos_cv,2468786.399307251,7080,0.3548970862169236
total_compras_12m,1403714.7971291542,3333,0.2017891428438305
dias_desde_ultima_compra,910331.3490344286,11653,0.13086346528597836
ciclo_dias_mu,879008.3634225726,10320,0.1263606713916254
Sow_transacciones_netas,608360.311753571,8422,0.08745402278299383
n_subcats_familia,256394.2380232811,13028,0.03685761069600995
avg_unidades,217662.93638849258,11102,0.031289844242244534
ticket_promedio,212086.1205404997,14885,0.030488156540393777
