epoch,train_loss,duration_seconds,optimizer_updates
1,0.42519912653628056,0.6243784427642822,156
2,0.4127683130881669,0.3093094825744629,156
3,0.4116410401256673,0.30681586265563965,156
4,0.4110237188498996,0.3055400848388672,156
5,0.4106909433150704,0.3078780174255371,156
6,0.41041646045253943,0.3077890872955322,156
7,0.4101995332608475,0.30597472190856934,156
8,0.4099040189232363,0.30520033836364746,156
9,0.4097144640062148,0.3033633232116699,156
10,0.40954078644206576,0.30961060523986816,156
11,0.409476879292282,0.30585813522338867,156
12,0.40922867146150627,0.3055851459503174,156
13,0.40906206129176165,0.3056609630584717,156
14,0.4089835945610216,0.30747008323669434,156
15,0.4087944600976291,0.3044273853302002,156
16,0.4089302614989167,0.30448365211486816,156
17,0.408757025062783,0.3067944049835205,156
18,0.4086925371593321,0.3071017265319824,156
19,0.4085642459035794,0.3098773956298828,156
20,0.40850277315897277,0.3043365478515625,156
21,0.40852057355229116,0.3062596321105957,156
22,0.40845641203661653,0.3045525550842285,156
23,0.408410364314449,0.30599331855773926,156
24,0.4083761685295558,0.3032217025756836,156
25,0.4083470312129325,0.3046762943267822,156
26,0.40820938261798667,0.30558109283447266,156
27,0.408197685347107,0.30594658851623535,156
28,0.40813592322862624,0.30316829681396484,156
29,0.4079549827195546,0.3030571937561035,156
30,0.408095974380222,0.30216360092163086,156
31,0.4079971349759887,0.3039085865020752,156
32,0.4080894808184334,0.30489611625671387,156
33,0.4080475301310222,0.30400633811950684,156
34,0.40788669028336044,0.30623507499694824,156
35,0.4078809862175846,0.30269575119018555,156
36,0.40790192760235705,0.3036220073699951,156
37,0.4079013526526657,0.30261731147766113,156
38,0.4078222865029714,0.3012864589691162,156
39,0.40779098100415107,0.3047788143157959,156
40,0.4077934610146334,0.30722975730895996,156
41,0.40776291644368834,0.30266785621643066,156
42,0.407748150246361,0.30446887016296387,156
43,0.40772660848924996,0.3054070472717285,156
44,0.4076023568847114,0.30478644371032715,156
45,0.4076493977876001,0.30507707595825195,156
46,0.40769584563280864,0.3071715831756592,156
47,0.4076214616233386,0.30465054512023926,156
48,0.407604243234709,0.304520845413208,156
49,0.4076086961367182,0.3049476146697998,156
50,0.407665323432044,0.30279064178466797,156
51,0.4076152183082218,0.30210185050964355,156
52,0.4076370063574589,0.30618762969970703,156
53,0.407537365389757,0.30478739738464355,156
54,0.4075697325561554,0.30388712882995605,156
55,0.40753061271634217,0.3057363033294678,156
56,0.40751950179680757,0.30434560775756836,156
57,0.4074485939857355,0.3059694766998291,156
58,0.407505277675441,0.30382704734802246,156
59,0.4073553848915286,0.30434441566467285,156
60,0.4074329499343616,0.30342841148376465,156
61,0.4074413760986412,0.30312037467956543,156
62,0.4073890072663631,0.30449628829956055,156
63,0.40734025099193405,0.3039522171020508,156
64,0.40740427827965103,0.3024272918701172,156
65,0.4072957935380582,0.30121755599975586,156
66,0.40740436321391965,0.3024568557739258,156
67,0.4073356512009202,0.30414819717407227,156
68,0.40736111513732753,0.3029203414916992,156
69,0.40737092987904294,0.3033325672149658,156
70,0.4073423432827258,0.30457639694213867,156
71,0.4073810242424717,0.3042936325073242,156
72,0.40735509958351024,0.30231809616088867,156
73,0.4073587317125136,0.30344676971435547,156
74,0.4073152383566698,0.3064894676208496,156
75,0.407308573924694,0.3039541244506836,156
76,0.40721919710341775,0.3025166988372803,156
77,0.40726628967665146,0.3077371120452881,156
78,0.40722170772756966,0.30352210998535156,156
79,0.4072567498874279,0.30599403381347656,156
80,0.4073416144002101,0.3063242435455322,156
81,0.4071843261399599,0.3060872554779053,156
82,0.40715847390977344,0.302746057510376,156
83,0.40722596899871666,0.30797386169433594,156
84,0.4071103138605429,0.30438685417175293,156
85,0.4071822062620555,0.3043937683105469,156
86,0.4072283669256361,0.3033127784729004,156
87,0.40714857042329194,0.3020322322845459,156
88,0.4071230126095106,0.30316877365112305,156
89,0.40707363345637143,0.3037416934967041,156
90,0.4070538075845105,0.3029346466064453,156
91,0.4070806993428056,0.30168724060058594,156
92,0.40713323218483216,0.30298757553100586,156
93,0.4070977579321987,0.3022637367248535,156
94,0.4071390660576871,0.3025064468383789,156
95,0.407002847479962,0.30457043647766113,156
96,0.4070955991495249,0.3038060665130615,156
97,0.407023061637511,0.3048698902130127,156
98,0.40708532841186235,0.30478453636169434,156
99,0.4070266117520759,0.3028573989868164,156
100,0.4071418481499063,0.30312228202819824,156
101,0.4071003069301525,0.3021538257598877,156
102,0.407097800782768,0.3032572269439697,156
103,0.4069748115463785,0.3019216060638428,156
104,0.40703680083083726,0.30413317680358887,156
105,0.40696330067315317,0.30248403549194336,156
106,0.40696813178514224,0.3036231994628906,156
107,0.4070684762404934,0.3039889335632324,156
108,0.4069703383993217,0.30223751068115234,156
109,0.40700982261042645,0.3078019618988037,156
110,0.4070643953526117,0.3011200428009033,156
111,0.4070112379845335,0.30252909660339355,156
112,0.406939545642998,0.30301809310913086,156
113,0.4069928370669243,0.3024418354034424,156
114,0.40688900547359835,0.3065207004547119,156
115,0.4070337356127437,0.3054938316345215,156
116,0.40700173903299186,0.302471399307251,156
117,0.4070298468957181,0.30544376373291016,156
118,0.40686364207838716,0.3035769462585449,156
119,0.4069539141940259,0.3027458190917969,156
120,0.4068730054192014,0.3032970428466797,156
