round,target_epoch,steps_per_epoch,updates_accumulated,candidate_id,lr,dropout,activation,hidden_dims,batch_size,weight_decay,pos_weight,pr_auc,roc_auc,f1,precision,recall,lift_at_10,threshold_f1,base_rate,top10_positive_rate,val_loss,duration_seconds
1,5,8,40,0,0.0013405258015190262,0.2645465408231715,leaky_relu,"[256, 128]",262144,1.106727030866478e-07,4.0,0.5262071936965723,0.7682656345009623,0.5073337735914636,0.4553863912894269,0.5726587939895641,3.1806855919855,0.5365134477615356,0.20000000298023224,0.6361371278762817,0.913948236657057,15.00358772277832
1,5,16,80,1,0.009846412531625012,0.21980132862369228,leaky_relu,"[256, 128]",131072,0.0005061288681518553,2.0,0.5313805492713769,0.7718059076062511,0.507900657516089,0.4571951142928912,0.5712562281768606,3.216485631220257,0.3432311713695526,0.20000000298023224,0.6432971358299255,0.6384074675830583,0.04775214195251465
1,5,63,315,2,0.0024744839195957693,0.33126942885127564,leaky_relu,"[128, 128, 128, 128]",32768,2.4658632538627263e-06,2.0,0.5348848221282333,0.7738849551606352,0.5130006528081854,0.4687279367011564,0.5665090823492487,3.2171719786946182,0.41163137555122375,0.20000000298023224,0.6434344053268433,0.621603020942526,0.019565343856811523
1,5,32,160,3,0.00765055527168367,0.35182754640139935,tanh,"[64, 32, 64, 128]",65536,1.0467841319129334e-06,2.0,0.5266981960162386,0.7684952667322522,0.5088369492686974,0.47086949265687583,0.5534642394758523,3.171760392609829,0.4338768422603607,0.20000000298023224,0.6343520879745483,0.6285579048449362,0.012714147567749023
1,5,63,315,4,0.0004627959995947912,0.33905845421326647,leaky_relu,"[256, 128, 256]",32768,0.0006473683156978916,2.0,0.5325087567192938,0.772227880855958,0.5116427907629184,0.4625499334221039,0.5723939738710816,3.2033425092199073,0.3970552980899811,0.20000000298023224,0.640668511390686,0.623759076820639,0.014824867248535156
1,5,8,40,5,0.0019235254084809714,0.20902733238837579,relu,"[64, 256, 256]",262144,2.148320692179567e-06,4.0,0.5284446828730321,0.7698533098085192,0.5088247768919819,0.4553362561774776,0.5765526305465103,3.1871592523580903,0.5481590032577515,0.20000000298023224,0.6374318599700928,0.9111699928634608,0.014506340026855469
1,5,125,625,6,0.0001017172794788542,0.0863996264127567,leaky_relu,"[256, 32]",16384,3.269189519978774e-07,4.0,0.5310580849791351,0.7707245912806158,0.5099408314780002,0.45662865565122956,0.5773470909019577,3.2073640345429775,0.5565714836120605,0.20000000298023224,0.6414728164672852,0.9089983473604576,0.023628711700439453
1,5,16,80,7,0.0008494856255824379,0.3241346469026546,leaky_relu,"[256, 32]",131072,0.00010310315094927766,1.0,0.5209468133891152,0.7638328417009541,0.49826640556784757,0.4387325520638949,0.576493781631292,3.1644042854844887,0.32985883951187134,0.20000000298023224,0.6328808665275574,0.43977978320160865,0.011569738388061523
1,5,32,160,8,0.005717648884989453,0.4491639476548165,relu,"[256, 32, 128, 128]",65536,0.00032159737199287245,1.0,0.5335519434869567,0.7730889304512265,0.5124922586923826,0.4667617482111777,0.5681568519753619,3.2251166816783448,0.20138394832611084,0.20000000298023224,0.6450233459472656,0.41715139698985043,0.0243377685546875
1,5,16,80,9,0.0004652875565849699,0.16096974206386097,relu,"[32, 64, 64]",131072,3.4412911284612354e-05,4.0,0.5149760445700168,0.7623492191881339,0.497222440927661,0.44872969004121205,0.5574659657106987,3.1378241905894253,0.5475471019744873,0.20000000298023224,0.6275648474693298,0.922907449655766,0.009607553482055664
