round,target_epoch,steps_per_epoch,updates_accumulated,candidate_id,lr,dropout,activation,hidden_dims,batch_size,weight_decay,pos_weight,pr_auc,roc_auc,f1,precision,recall,lift_at_10,threshold_f1,base_rate,top10_positive_rate,val_loss,duration_seconds
2,15,125,1875,824,0.004715381599833196,0.16584763033094269,leaky_relu,"[256, 128, 64]",16384,1.7115256105042944e-06,2.0,0.5408558559442561,0.7764747385739472,0.515734499843771,0.47323754444025756,0.566616972027149,3.266016792267311,0.405346155166626,0.20000000298023224,0.6532033681869507,0.6181447834886067,3.2321109771728516
2,15,125,1875,330,0.004512971190089239,0.2059764737479408,relu,"[256, 256, 32]",16384,1.209876356320391e-07,1.0,0.5407850343628384,0.7763896181874808,0.5162181951308805,0.48387152122439175,0.5531994193573698,3.2622897138850435,0.2702846825122833,0.20000000298023224,0.6524579524993896,0.40802269780886985,3.3169918060302734
2,15,125,1875,98,0.00790222061659122,0.11459560922858276,relu,"[256, 256]",16384,1.608718759331238e-07,1.0,0.5404905958941204,0.7761749643459475,0.5155775562970984,0.4692394950884561,0.5720703048373809,3.2652320971305357,0.25829383730888367,0.20000000298023224,0.6530464291572571,0.4080888102374402,2.5814883708953857
2,15,125,1875,161,0.004751585460750109,0.05911102627406577,leaky_relu,"[64, 64, 32]",16384,4.936237158074946e-06,2.0,0.5404397256370536,0.7761309850785735,0.5153432933747044,0.4812161230758758,0.5546804503903645,3.2618972173050462,0.4124317765235901,0.20000000298023224,0.6523794531822205,0.6185850792636615,3.194457769393921
2,15,125,1875,817,0.004057439498603711,0.13723698674466572,leaky_relu,"[128, 256, 32]",16384,6.27658680656254e-06,1.0,0.5403757614614266,0.7760258920627671,0.5160097479695442,0.4727389980489955,0.5679999215347797,3.2617991676658518,0.24599076807498932,0.20000000298023224,0.6523598432540894,0.4080307035175562,3.2274129390716553
2,15,63,945,491,0.0040764999123570605,0.1256144670895113,leaky_relu,"[64, 256, 256, 32]",32768,1.3173418129273819e-05,1.0,0.5401036523746361,0.776058913877923,0.5156273645791606,0.47201623286666555,0.5681176193652163,3.2608183732506877,0.2517161965370178,0.20000000298023224,0.6521636843681335,0.40811836493128,2.3342278003692627
2,15,125,1875,788,0.001265614220539916,0.14555009746691527,relu,"[256, 128, 128, 32]",16384,6.455525951233068e-07,2.0,0.5400841853706005,0.7761216148037324,0.5151520542218506,0.47126072027209553,0.5680587704499981,3.2617011180266573,0.40681523084640503,0.20000000298023224,0.6523402333259583,0.6186449964912919,3.8361599445343018
2,15,63,945,138,0.008719796893450125,0.058454101121652516,relu,"[64, 128, 64, 64]",32768,1.3475886236935304e-06,1.0,0.5400408511718318,0.7760529427528502,0.5155530387155858,0.469595493121207,0.5714818156851975,3.2584642878403622,0.2428147941827774,0.20000000298023224,0.6516928672790527,0.4083686198827738,2.145571231842041
2,15,63,945,660,0.005102995266548861,0.1434023498185529,leaky_relu,"[256, 256, 128, 32]",32768,5.966817221958591e-06,2.0,0.5399960934425359,0.7761354549567908,0.5159552762588754,0.4797551392097674,0.5580642630154184,3.2622897138850435,0.4111977219581604,0.20000000298023224,0.6524579524993896,0.6186645544759943,2.7581748962402344
2,15,63,945,47,0.003407035383710923,0.1964007710948773,relu,"[128, 64, 32, 32]",32768,2.645776459778152e-06,4.0,0.5398265841984077,0.7759922257085747,0.5152258546210868,0.47105382915095567,0.5685393699242811,3.2608183732506877,0.5768126249313354,0.20000000298023224,0.6521636843681335,0.900767789689485,2.189082622528076
2,15,63,945,976,0.0019831454816419147,0.17016914831794105,relu,"[128, 256, 32, 32]",32768,1.356856699548968e-05,2.0,0.5398103478874362,0.7760422439700203,0.5154446287993787,0.4685063372372854,0.5728353407352191,3.260720323611493,0.3956882953643799,0.20000000298023224,0.6521440744400024,0.6191785539312937,2.275104284286499
2,15,125,1875,59,0.0007626239252959497,0.15305977555506683,relu,"[256, 256, 64, 64]",16384,1.8966550977696662e-05,2.0,0.5397696213297947,0.7758935468061539,0.5152509694805337,0.4656618538084414,0.5766605202244105,3.25954342991794,0.40706995129585266,0.20000000298023224,0.6519086956977844,0.6191205655159546,3.9577245712280273
2,15,125,1875,224,0.0009891269273199538,0.18597866332380486,leaky_relu,"[256, 256, 64, 64]",16384,1.5342570245214055e-05,2.0,0.5397105192326687,0.775876119841458,0.5149461756373938,0.4786844078908561,0.5571521048295343,3.255325805316481,0.4157487750053406,0.20000000298023224,0.6510651707649231,0.6188079450652311,3.949215888977051
2,15,63,945,24,0.002145039422706095,0.21549372983027976,relu,"[128, 128, 32]",32768,4.072031106841297e-05,4.0,0.5395230256210937,0.7759751187046005,0.5148129939182053,0.4803510143056169,0.5546019851700734,3.259739529196329,0.5924826860427856,0.20000000298023224,0.6519479155540466,0.9009399983319712,1.8752102851867676
2,15,125,1875,18,0.0003887649918076629,0.1329007755495173,leaky_relu,"[256, 256, 128]",16384,5.2230266232289456e-05,1.0,0.5394953271932708,0.775770790486655,0.5152418656994131,0.47455009456479547,0.5635666365883322,3.2554238549556755,0.25833550095558167,0.20000000298023224,0.6510847806930542,0.4082974373744746,3.3105170726776123
2,15,32,480,904,0.0064759731342329445,0.20052016933587385,relu,"[256, 128, 64, 128]",65536,1.3342716405070946e-05,4.0,0.5394326258356482,0.7759444636464061,0.5152398837146314,0.4772932557205941,0.5597414570991408,3.2570912948684203,0.5567994117736816,0.20000000298023224,0.6514182686805725,0.9039579116969341,1.9088265895843506
2,15,63,945,860,0.0020634687080419447,0.23954622386957508,relu,"[128, 256, 256, 32]",32768,6.443462475395991e-06,1.0,0.5394070867591527,0.7757771155911236,0.5153382298806247,0.4657852208631726,0.5766899446820197,3.250912081436633,0.25087711215019226,0.20000000298023224,0.6501824259757996,0.40883616114673865,2.7860655784606934
2,15,125,1875,534,0.00798908078634138,0.22831647603675687,relu,"[64, 64, 128]",16384,2.92968522094972e-07,2.0,0.5393447448166321,0.7757260913076571,0.5152202072538861,0.47579332114969264,0.5617717446741731,3.2550316563988977,0.4238795340061188,0.20000000298023224,0.6510063409805298,0.6192481516837662,3.291299343109131
2,15,63,945,822,0.009196797323710187,0.0751392951043598,relu,"[32, 128]",32768,1.4657624630625362e-07,4.0,0.5393271727702045,0.7759346249864902,0.5152538728261551,0.4742302046740224,0.5640472360626152,3.2559144011748673,0.5943334698677063,0.20000000298023224,0.6511828899383545,0.9012226430860655,1.5399770736694336
2,15,125,1875,172,0.0033595136557025692,0.26334245367618786,relu,"[64, 256, 128]",16384,6.109641560343175e-07,2.0,0.539298897972007,0.775791526269454,0.5152594650168648,0.47687132745726496,0.5603691788614696,3.2546391598189004,0.3965587913990021,0.20000000298023224,0.6509278416633606,0.619565357603599,3.284348249435425
2,15,125,1875,279,0.0037809281728008164,0.16157891677096065,leaky_relu,"[64, 32]",16384,1.1794772221760208e-07,4.0,0.5392824406828799,0.7756150716231364,0.51488370862329,0.4677569269723242,0.5725705206167366,3.259935628474718,0.5715439915657043,0.20000000298023224,0.6519871354103088,0.901715849989173,2.6533093452453613
2,15,125,1875,646,0.0033426795778267147,0.206893100749433,relu,"[64, 128, 256, 128]",16384,2.9351318132922096e-06,1.0,0.5392418537891035,0.7755382139144669,0.5149610931358131,0.47190956169441134,0.5666562046372945,3.256306599731645,0.24829664826393127,0.20000000298023224,0.6512613296508789,0.4088780644675273,3.9277782440185547
2,15,125,1875,826,0.0016358128026987642,0.0569773746150319,relu,"[64, 32]",16384,7.406393718437421e-07,1.0,0.5392297849493752,0.7757370566001636,0.5149304533815863,0.466241957163195,0.5749735179881518,3.254541110179706,0.2604026198387146,0.20000000298023224,0.6509082317352295,0.40852041624504276,2.6486568450927734
2,15,63,945,931,0.004583756515258595,0.3381731075626976,leaky_relu,"[256, 256, 128]",32768,4.384955740024873e-06,1.0,0.539212714951186,0.775618523899275,0.5152924758692872,0.4736387705767238,0.5649790105535721,3.2534622661253474,0.24932628870010376,0.20000000298023224,0.6506924629211426,0.40851360239540735,2.24269437789917
2,15,16,240,719,0.006158954690392628,0.06088483860524337,relu,"[256, 256]",131072,1.410058071499496e-06,2.0,0.539211512174363,0.7756228149539848,0.51450386347455,0.46380224124489106,0.5776511436305858,3.2532661668469585,0.40738680958747864,0.20000000298023224,0.6506532430648804,0.6192898067357405,1.486628770828247
2,15,125,1875,864,0.0014410570737410262,0.26253880683012404,relu,"[128, 256, 128]",16384,2.1652247566559845e-05,4.0,0.5392088892631981,0.7759504075469197,0.5148682863761246,0.47471026490066226,0.5624485071991839,3.252088975130186,0.575128972530365,0.20000000298023224,0.6504178047180176,0.902012883157194,3.277017116546631
